JobTitle,Require,Link,Year,Rank
Backend Developer – API development,"ASP.NET, C#, MVC, .NET, Back-End, API",https://topdev.vn/viec-lam/backend-developer-api-development-titan-dms-pty-ltd-2026490,3 năm,Senior
[Full-time/ Full-Remote] Web Developer (Python/Java/ReactJS),"Java, Python, ReactJS",https://topdev.vn/viec-lam/full-time-full-remote-web-developer-python-java-reactjs-yrglm-vietnam-2026491,3 năm,Senior
CHUYÊN VIÊN THIẾT KẾ UI/UX,"Photoshop, Illustrator, Web, Flash",https://topdev.vn/viec-lam/chuyen-vien-thiet-ke-ui-ux-tong-cong-ty-co-phan-bao-hiem-buu-dien-pti-2026676,Tất cả kinh nghiệm,All Levels
[Remote] Front-end Developer,"Python, NodeJS, HTML, ReactJS, NextJS",https://topdev.vn/viec-lam/remote-front-end-developer-cycai-2026677,3 năm,Senior
IT - SOFTWARE ENGINEER (CORE BANKING),".NET, Java, C#, NodeJS, Golang",https://topdev.vn/viec-lam/it-software-engineer-core-banking-ngan-hang-a-chau-acb-2026678,2 năm,Middle
Partner Service Consultant (IT Business Analyst Skills),"SQL, SEM, Data Analytics, Business Analyst, English",https://topdev.vn/viec-lam/partner-service-consultant-it-business-analyst-skills-dicentral-2026710,06 tháng,"Fresher,Junior,Middle"
Software Developer (Front-end/Angular/.NET/C++/C#) ~ Up to $3500,"C#, .NET, Front-End, Angular, JavaScript, C/C++",https://topdev.vn/viec-lam/software-developer-front-end-angular-net-c-c-up-to-3500-cong-ty-tnhh-mitek-viet-nam-2026719,Tất cả kinh nghiệm,Fresher
"Web Back-End Developer (C#, .NET, ASP.NET) - Up to 40M",".NET, C#, Back-End, ASP.NET",https://topdev.vn/viec-lam/web-back-end-developer-c-net-asp-net-up-to-40m-misa-software-2026713,06 tháng,Fresher
"Full-stack Developer (ASP.NET, VueJS/ AngularJS/ ReactJS) - Up to 40M","ASP.NET, ReactJS, VueJS, C#, Full-Stack, .NET, AngularJS",https://topdev.vn/viec-lam/full-stack-developer-asp-net-vuejs-angularjs-reactjs-up-to-40m-misa-software-2026715,3 năm,Senior
"Back-end Engineer (Java, Python, Javascript) (Base in Đà Nẵng)","Java, JavaScript, Python, Golang, Back-End, C/C++",https://topdev.vn/viec-lam/back-end-engineer-java-python-javascript-base-in-da-nang-cho-tot-2026721,3 năm,Senior
[All Levels/Fresher] Tester/ QA/ QC,"QA, QC, Tester, Manual Tester",https://topdev.vn/viec-lam/all-levels-fresher-tester-qa-qc-cyberlogitec-vietnam-co-ltd-2026861,Tất cả kinh nghiệm,Fresher
"JAVA DEVELOPER (Java Core, JEE, Spring MVC, Hibernate)","Java, Hibernate, Spring, Java Core",https://topdev.vn/viec-lam/java-developer-java-core-jee-spring-mvc-hibernate-citynow-technology-solutions-2026863,1 năm,Junior
TESTER (Manual Test / Automation Test),"Tester, Manual Test, Automation Tester",https://topdev.vn/viec-lam/tester-manual-test-automation-test-citynow-technology-solutions-2026862,1 năm,"Nhân viên,Chuyên viên"
"FRONT-END DEVELOPER (ReactJS, VueJS, TypeScript)","JavaScript, Front-End, ReactJS, VueJS, TypeScript",https://topdev.vn/viec-lam/front-end-developer-reactjs-vuejs-typescript-citynow-technology-solutions-2026864,1 năm,Junior
BUSINESS ANALYST,Business Analyst,https://topdev.vn/viec-lam/business-analyst-citynow-technology-solutions-2026865,4 năm,Senior
"Digital Banking Technical Officer - Chuyên viên Công nghệ thông tin Ngân hàng số (Java, .NET)","Java, .NET",https://topdev.vn/viec-lam/digital-banking-technical-officer-chuyen-vien-cong-nghe-thong-tin-ngan-hang-so-java-net-ngan-hang-dau-tu-va-phat-trien-campuchia-bidc-2026867,Tất cả kinh nghiệm,All Levels
"Java Developer (Fresher, Junior) ~ $1,500","Java, Spring Boot, Spring",https://topdev.vn/viec-lam/java-developer-fresher-junior-1-500-dac-data-technology-hanoi-office-2026866,06 tháng,Fresher
"Java Developer (Fresher, Junior) ~ $1,500","Java, Spring Boot, Spring",https://topdev.vn/viec-lam/java-developer-fresher-junior-1-500-dac-data-technology-hanoi-office-2026866,06 tháng,Fresher
Python Developer (Django/ Odoo),"Django, Python, Odoo, Back-End",https://topdev.vn/viec-lam/python-developer-django-odoo-cong-ty-co-phan-cong-nghe-sang-tao-tre-teky-holdings-2026868,2 năm,Middle
ReactJS/ React Native Developer,"ReactJS, React Native",https://topdev.vn/viec-lam/reactjs-react-native-developer-bkav-2026897,1 năm,Junior
ITC INTERNSHIP (DEV/TESTER/BA),"Tester, Business Analyst, Java, JavaScript, .NET, PHP",https://topdev.vn/viec-lam/itc-internship-dev-tester-ba-itc-group-2026869,Không yêu cầu,Intern
Java Developer ~ Up to 1500$,"Java, MySQL, Spring, Database",https://topdev.vn/viec-lam/java-developer-up-to-1500-bkav-2026898,Tất cả kinh nghiệm,All Levels
JAVA DEVELOPER,"Back-End, Web Developer, Java Core, Spring, JavaEE",https://topdev.vn/viec-lam/java-developer-digicommerce-group-inc-2027024,1 năm,"Junior,Middle"
Mobile App Developer (React Native),"CSS, JavaScript, HTML, React Native, Redux, TypeScript",https://topdev.vn/viec-lam/mobile-app-developer-react-native-zoi-tech-sgn-2026900,2 năm,"Middle,Senior"
